english,russian
the,определённый артикль
be,быть
to,к
of,из
and,и
a,неопределённый артикль
in,в
that,что
have,иметь
I,я
it,это
for,для
not,не
on,на
with,с
he,он
as,как
you,ты
do,делать
at,в
this,это
but,но
his,его
by,по
from,от
they,они
we,мы
say,сказать
her,её
she,она
or,или
an,неопределённый артикль
will,будет
my,мой
one,один
all,все
would,бы
there,там
their,их
what,что
so,так
up,вверх
out,вне
if,если
about,о
who,кто
get,получить
which,который
go,идти
me,меня
when,когда
make,делать
can,мочь
like,нравиться
time,время
no,нет
just,просто
him,его
know,знать
take,брать
people,люди
into,в
year,год
your,твой
good,хороший
some,некоторые
could,мог
them,их
see,видеть
other,другой
than,чем
then,затем
now,сейчас
look,смотреть
only,только
come,приходить
its,его
over,над
think,думать
also,также
back,назад
after,после
use,использовать
two,два
how,как
our,наш
work,работа
first,первый
well,хорошо
way,путь
even,даже
new,новый
want,хотеть
because,потому что
any,любой
these,эти
give,давать
day,день
most,большинство
us,нас
